# Chunk-averaged data for fix av and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Coord2 Ncount mass vx vy vz v_ux v_uy v_uz c_s[1] c_s[2] c_s[3] c_s[4] v_sx v_sy v_sz v_sxy
200000 10000 8.2656e+07
  66 -4.95 1.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  67 -4.95 1.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  68 -4.95 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  69 -4.95 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  70 -4.95 1.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  71 -4.95 2.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  72 -4.95 2.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  73 -4.95 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  74 -4.95 2.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  75 -4.95 2.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  76 -4.95 2.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  77 -4.95 2.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  78 -4.95 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  79 -4.95 2.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  80 -4.95 2.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  81 -4.95 3.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  82 -4.95 3.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  83 -4.95 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  84 -4.95 3.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  85 -4.95 3.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  86 -4.95 3.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  87 -4.95 3.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  88 -4.95 3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  89 -4.95 3.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  90 -4.95 3.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  91 -4.95 4.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  92 -4.95 4.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  93 -4.95 4.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  94 -4.95 4.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  95 -4.95 4.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  96 -4.95 4.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  97 -4.95 4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  98 -4.95 4.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  99 -4.95 4.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  100 -4.95 4.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  101 -4.85 -4.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  102 -4.85 -4.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  103 -4.85 -4.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  104 -4.85 -4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  105 -4.85 -4.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  106 -4.85 -4.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  107 -4.85 -4.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  108 -4.85 -4.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  109 -4.85 -4.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  110 -4.85 -4.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  111 -4.85 -3.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  112 -4.85 -3.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  113 -4.85 -3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  114 -4.85 -3.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  115 -4.85 -3.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  116 -4.85 -3.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  117 -4.85 -3.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  118 -4.85 -3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  119 -4.85 -3.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  120 -4.85 -3.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  121 -4.85 -2.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  122 -4.85 -2.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  123 -4.85 -2.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  124 -4.85 -2.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  125 -4.85 -2.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  126 -4.85 -2.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  127 -4.85 -2.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  128 -4.85 -2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  129 -4.85 -2.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  130 -4.85 -2.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  131 -4.85 -1.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  132 -4.85 -1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  133 -4.85 -1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  134 -4.85 -1.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  135 -4.85 -1.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  136 -4.85 -1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  137 -4.85 -1.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  138 -4.85 -1.25 0.98825 0.000697091 -0.23576 0.920649 -0.0496512 0.176994 1.8237 0.118508 -0.10792 -0.259794 -0.127318 0.0653134 0.000182689 0.00188801 3.06856e-05 -0.000469505
  139 -4.85 -1.15 8.57066 0.00130339 -0.251649 1.20077 -0.0351434 0.305729 2.83294 0.287588 -0.134963 -0.379042 -0.311709 0.0774707 0.000396634 0.00370519 4.14209e-05 -0.000836746
  140 -4.85 -1.05 9.74476 0.00120625 -0.19974 1.20099 0.00709511 0.364222 2.62652 0.407243 -0.101923 -0.326642 -0.284483 0.0459063 0.000442884 0.00317453 3.03054e-05 -0.000631476
  141 -4.85 -0.95 10.3583 0.00126595 -0.0972366 1.02218 -0.0565274 0.374316 2.38022 0.419215 -0.0925732 -0.256569 -0.204064 0.0318309 0.000477408 0.00301315 -1.40334e-05 -0.000523267
  142 -4.85 -0.85 11.3126 0.00130776 0.0958863 0.779187 -0.128966 0.60158 2.12024 0.402694 -0.0572309 -0.184674 -0.168095 0.00460248 0.00078375 0.00279942 -7.34446e-05 -0.000481143
  143 -4.85 -0.75 12.4272 0.0013414 0.304435 0.477315 -0.168349 0.800594 1.94068 0.742935 -0.0511836 -0.0857725 -0.0963021 0.00730817 0.00105638 0.00256527 -5.27441e-05 -0.000257573
  144 -4.85 -0.65 4.27202 0.00125899 0.726134 0.383331 0.0859502 1.35859 1.77661 0.676822 -0.0264248 -0.0440104 -0.0442997 0.00666376 0.00174871 0.0022356 0.000333246 -5.85556e-05
  145 -4.85 -0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  146 -4.85 -0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  147 -4.85 -0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  148 -4.85 -0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  149 -4.85 -0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  150 -4.85 -0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  151 -4.85 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  152 -4.85 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  153 -4.85 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  154 -4.85 0.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  155 -4.85 0.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  156 -4.85 0.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  157 -4.85 0.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  158 -4.85 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  159 -4.85 0.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  160 -4.85 0.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  161 -4.85 1.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  162 -4.85 1.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  163 -4.85 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  164 -4.85 1.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  165 -4.85 1.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  166 -4.85 1.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  167 -4.85 1.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  168 -4.85 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  169 -4.85 1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  170 -4.85 1.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  171 -4.85 2.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  172 -4.85 2.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  173 -4.85 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  174 -4.85 2.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  175 -4.85 2.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  176 -4.85 2.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  177 -4.85 2.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  178 -4.85 2.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  179 -4.85 2.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  180 -4.85 2.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  181 -4.85 3.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  182 -4.85 3.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  183 -4.85 3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  184 -4.85 3.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  185 -4.85 3.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  186 -4.85 3.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  187 -4.85 3.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  188 -4.85 3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  189 -4.85 3.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  190 -4.85 3.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  191 -4.85 4.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  192 -4.85 4.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  193 -4.85 4.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  194 -4.85 4.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  195 -4.85 4.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  196 -4.85 4.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  197 -4.85 4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  198 -4.85 4.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  199 -4.85 4.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  200 -4.85 4.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  201 -4.75 -4.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  202 -4.75 -4.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  203 -4.75 -4.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  204 -4.75 -4.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  205 -4.75 -4.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  206 -4.75 -4.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  207 -4.75 -4.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  208 -4.75 -4.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  209 -4.75 -4.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  210 -4.75 -4.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  211 -4.75 -3.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  212 -4.75 -3.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  213 -4.75 -3.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  214 -4.75 -3.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  215 -4.75 -3.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  216 -4.75 -3.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  217 -4.75 -3.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  218 -4.75 -3.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  219 -4.75 -3.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  220 -4.75 -3.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  221 -4.75 -2.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  222 -4.75 -2.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  223 -4.75 -2.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  224 -4.75 -2.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  225 -4.75 -2.55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  226 -4.75 -2.45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  227 -4.75 -2.35 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  228 -4.75 -2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  229 -4.75 -2.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  230 -4.75 -2.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  231 -4.75 -1.95 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  232 -4.75 -1.85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  233 -4.75 -1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  234 -4.75 -1.65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  235 -4.75 -1.55 4.7361 0.00125849 -0.441803 1.43998 0.03848 0.374041 2.85249 0.175768 -0.256186 -0.651865 -0.668956 0.139747 0.000477773 0.00357352 -2.97137e-05 -0.00108056
  236 -4.75 -1.45 9.51713 0.00134357 -0.389986 1.39665 0.0375924 0.427137 2.77093 0.239162 -0.198581 -0.597263 -0.517894 0.065828 0.000581268 0.00373238 -1.57578e-05 -0.00104801
  237 -4.75 -1.35 10.5864 0.00129975 -0.343336 1.32774 0.0192116 0.381766 2.63681 0.249237 -0.246555 -0.529467 -0.37915 0.0281997 0.000498501 0.00346272 -1.20617e-05 -0.000874202
  238 -4.75 -1.25 12.0909 0.00135329 -0.2445 1.27392 0.00530405 0.333208 2.60598 0.205257 -0.33174 -0.535953 -0.416617 0.00549316 0.000441394 0.00353262 -2.52893e-05 -0.000776915
  239 -4.75 -1.15 9.47466 0.00134107 -0.244557 1.16375 -0.0134308 0.335057 2.26623 0.18508 -0.310991 -0.513678 -0.403331 0.0595425 0.000449937 0.00304113 -1.92638e-05 -0.000681065
  240 -4.75 -1.05 10.0121 0.0013595 -0.105321 1.07688 0.0278829 0.325355 2.11563 0.164022 -0.251653 -0.421266 -0.312031 0.0750258 0.000444262 0.0028728 -9.8698e-06 -0.000512774
  241 -4.75 -0.95 10.4366 0.00141385 0.0485011 0.954178 0.0265179 0.402602 2.01059 0.171037 -0.220846 -0.341121 -0.238012 0.0481647 0.000566324 0.00283606 4.13599e-05 -0.000412248
  242 -4.75 -0.85 10.9447 0.0013965 0.331072 0.800679 -0.00361843 0.555944 1.81597 0.271901 -0.133138 -0.226556 -0.188636 0.0206926 0.000760808 0.00252716 -1.31326e-05 -0.000161155
  243 -4.75 -0.75 11.4169 0.00133582 0.488491 0.636306 -0.00803522 0.755082 1.61025 0.312387 -0.105368 -0.13848 -0.121421 0.0234999 0.00103309 0.00215398 -4.58178e-05 -5.59538e-05
